character-simplified|pinyin|definition
唉|āi|interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh; alas; oh dear
爱护|àihù|to cherish; to treasure; to take care of; to love and protect
爱惜|àixī|to cherish; to treasure; to use sparingly
爱心|àixīn|compassion; kindness; care for others; love; CL:片[pian4]; charity (bazaar, golf day etc); heart (the symbol ♥)
安慰|ānwèi|to comfort; to console; CL:個/个[ge4]
安装|ānzhuāng|to install; to erect; to fix; to mount; installation
岸|àn|bank; shore; beach; coast; CL:個/个[ge4]
把握|bǎwò|to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
摆|bǎi|to arrange; to exhibit; to move to and fro; a pendulum
班主任|bānzhǔrèn|teacher in charge of a class
办理|bànlǐ|to handle; to transact; to conduct
棒|bàng|stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
傍晚|bàngwǎn|in the evening; when night falls; towards evening; at night fall; at dusk
包裹|bāoguǒ|to wrap up; to bind up; bundle; parcel; package; CL:個/个[ge4]
包含|bāohán|to contain; to embody; to include
包子|bāozǐ|steamed stuffed bun; CL:個/个[ge4]
薄|bó|surname Bo; thin; cold in manner; indifferent; weak; light; infertile; meager; slight; weak; ungenerous or unkind; frivolous; to despise; to belittle; to look down on; to approach or near; see 薄荷[bo4 he5]
宝贝|bǎobèi|treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
宝贵|bǎogùi|valuable; precious; to value; to treasure; to set store by
保持|bǎochí|to keep; to maintain; to hold; to preserve
保存|bǎocún|to conserve; to preserve; to keep; to save (a file etc) (computing)
保留|bǎolíu|to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later
保险|bǎoxiǎn|insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]
报告|bàogào|to inform; to report; to make known; report; speech; talk; lecture; CL:篇[pian1],份[fen4],個/个[ge4],通[tong4]
悲观|bēiguān|pessimistic
被子|bèizǐ|quilt; CL:床[chuang2]
背|bèi|variant of 背[bei1]; to be burdened; to carry on the back or shoulder; the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory; unlucky (slang); hard of hearing
背景|bèijǐng|background; backdrop; context; (fig.) powerful backer; CL:種/种[zhong3]
本科|běnkē|undergraduate course; undergraduate (attributive)
本领|běnlǐng|skill; ability; capability; CL:項/项[xiang4],個/个[ge4]
本质|běnzhí|essence; nature; innate character; intrinsic quality
比例|bǐlì|proportion; scale
比如|bǐrú|for example; for instance; such as
彼此|bǐcǐ|each other; one another
必然|bìrán|inevitable; certain; necessity
必需|bìxū|to need; to require; essential; indispensable
必要|bìyào|necessary; essential; indispensable; required
毕竟|bìjìng|after all; all in all; when all is said and done; in the final analysis
避免|bìmiǎn|to avert; to prevent; to avoid; to refrain from
鞭炮|biānpào|firecrackers; string of small firecrackers; CL:枚[mei2]
编辑|biānjí|to edit; to compile; editor; compiler
便|biàn|plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; see 便宜/便宜[pian2 yi5]
辩论|biànlùn|debate; argument; to argue over; CL:場/场[chang3],次[ci4]
标点|biāodiǎn|punctuation; a punctuation mark; to punctuate; CL:個/个[ge4]
标志|biāozhì|sign; mark; symbol; logo; to symbolize; to indicate; to mark
表面|biǎomiàn|surface; face; outside; appearance
表明|biǎomíng|to make clear; to make known; to state clearly; to indicate; known
