character-simplified|pinyin|definition
生气|shēngqì|to get angry; to take offense; angry; vitality; liveliness
声音|shēngyīn|voice; sound; CL:個/个[ge4]
使|shǐ|to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
世界|shìjiè|world; CL:個/个[ge4]
瘦|shòu|thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive
舒服|shūfú|comfortable; feeling well
叔叔|shūshū|father's younger brother; uncle; Taiwan pr. [shu2 shu5]; CL:個/个[ge4]
树|shù|tree; CL:棵[ke1]; to cultivate; to set up
数学|shùxué|mathematics; mathematical
刷|shuā|to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job; to select
双|shuāng|surname Shuang; two; double; pair; both; even (number)
水平|shǔipíng|level (of achievement etc); standard; horizontal
司机|sījī|chauffeur; driver; CL:個/个[ge4]
虽然|sūirán|although; even though; even if
太阳|tàiyáng|sun; CL:個/个[ge4]; abbr. for 太陽穴/太阳穴[tai4 yang2 xue2]
糖|táng|sugar; sweets; candy; CL:顆/颗[ke1],塊/块[kuai4]; old variant of 糖[tang2]
特别|tèbié|especially; special; particular; unusual
疼|téng|(it) hurts; sore; to love dearly
提高|tígāo|to raise; to increase; to improve
体育|tǐyù|sports; physical education
甜|tián|sweet
条|tiáo|strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)
同事|tóngshì|colleague; co-worker; CL:個/个[ge4],位[wei4]
同意|tóngyì|to agree; to consent; to approve
头发|tóufā|hair (on the head)
突然|tūrán|sudden; abrupt; unexpected
图书馆|túshūguǎn|library; CL:家[jia1],個/个[ge4]
腿|tǔi|leg; CL:條/条[tiao2]; hip bone; old variant of 腿[tui3]
完成|wánchéng|to complete; to accomplish
碗|wǎn|variant of 碗[wan3]; variant of 碗[wan3]; bowl; cup; CL:隻/只[zhi1],個/个[ge4]
万|wàn|see 万俟[Mo4 qi2]; surname Wan; ten thousand; a great number
忘记|wàngjì|to forget
为了|wèile|in order to; for the purpose of; so as to
为什么|wèishíyāo|why?; for what reason?
位|wèi|position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential
文化|wénhuà|culture; civilization; cultural; CL:個/个[ge4],種/种[zhong3]
西|xī|the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; west
习惯|xíguàn|habit; custom; usual practice; to be used to; CL:個/个[ge4]
洗手间|xǐshǒujiān|toilet; lavatory; washroom
洗澡|xǐzǎo|to bathe; to take a shower
夏|xià|the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia; summer
先|xiān|early; prior; former; in advance; first
香蕉|xiāngjiāo|banana; CL:枝[zhi1],根[gen1],個/个[ge4],把[ba3]
相同|xiāngtóng|identical; same
相信|xiāngxìn|to be convinced (that sth is true); to believe; to accept sth as true
像|xiàng|to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)
小心|xiǎoxīn|to be careful; to take care
校长|xiàocháng|(college, university) president; headmaster; CL:個/个[ge4],位[wei4],名[ming2]
鞋|xié|shoe; CL:雙/双[shuang1],隻/只[zhi1]; variant of 鞋[xie2]
新闻|xīnwén|news; CL:條/条[tiao2],個/个[ge4]
新鲜|xīnxiān|fresh (experience, food etc); freshness; novel; uncommon
信|xìn|letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random
行李箱|xínglǐxiāng|suitcase; baggage compartment; overhead bin; (car) trunk; boot
兴趣|xīngqù|interest (desire to know about sth); interest (thing in which one is interested); hobby; CL:個/个[ge4]
熊猫|xióngmāo|panda; CL:隻/只[zhi1]
需要|xūyào|to need; to want; to demand; to require; requirement; need
选择|xuǎnzé|to select; to pick; choice; option; alternative
眼镜|yǎnjìng|spectacles; eyeglasses; CL:副[fu4]
要求|yàoqíu|to request; to require; requirement; to stake a claim; to ask; to demand; CL:點/点[dian3]
爷爷|yéyé|(coll.) father's father; paternal grandfather; CL:個/个[ge4]
一定|yīdìng|surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must
一共|yīgòng|altogether
一会儿|yīhùiér|a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]
一样|yīyáng|same; like; equal to; the same as; just like
以后|yǐhòu|after; later; afterwards; following; later on; in the future
以前|yǐqián|before; formerly; previous; ago
以为|yǐwèi|to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
一般|yībān|same; ordinary; so-so; common; general; generally; in general
一边|yībiān|one side; either side; on the one hand; on the other hand; doing while
一直|yīzhí|straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along
音乐|yīnlè|music; CL:張/张[zhang1],曲[qu3],段[duan4]
银行|yínxíng|bank; CL:家[jia1],個/个[ge4]
应该|yìnggāi|ought to; should; must
影响|yǐngxiǎng|influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3]
用|yòng|to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
游戏|yóuxì|game; CL:場/场[chang3]; to play
有名|yǒumíng|famous; well-known
又|yòu|(once) again; also; both... and...; and yet; (used for emphasis) anyway
遇到|yùdào|to meet; to run into; to come across
愿意|yuànyì|to wish; to want; ready; willing (to do sth)
越|yuè|generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南; to exceed; to climb over; to surpass; the more... the more
月亮|yuèliàng|the moon
云|yún|(classical) to say; surname Yun; abbr. for Yunnan Province 雲南省/云南省[Yun2 nan2 Sheng3]; cloud; CL:朵[duo3]
站|zhàn|station; to stand; to halt; to stop; branch of a company or organization; website
着急|zháojí|to worry; to feel anxious; Taiwan pr. [zhao1 ji2]
照顾|zhàogù|to take care of; to show consideration; to attend to; to look after
照片|zhàopiàn|photograph; picture; CL:張/张[zhang1],套[tao4],幅[fu2]
照相机|zhàoxiāngjī|camera; CL:個/个[ge4],架[jia4],部[bu4],台[tai2],隻/只[zhi1]
只|zhǐ|only; merely; just; but; variant of 只[zhi3]; grain that has begun to ripen; variant of 衹/只[zhi3]; variant of 只[zhi3]; classifier for birds and certain animals, one of a pair, some utensils, vessels etc
只|zhǐ|only; merely; just; but; variant of 只[zhi3]; grain that has begun to ripen; variant of 衹/只[zhi3]; variant of 只[zhi3]; classifier for birds and certain animals, one of a pair, some utensils, vessels etc
终于|zhōngyú|at last; in the end; finally; eventually
中间|zhōngjiān|between; intermediate; mid; middle
种|zhǒng|seed; species; kind; type; classifier for types, kinds, sorts; to plant; to grow; to cultivate
重要|zhòngyào|important; significant; major
周末|zhōumò|weekend
主要|zhǔyào|main; principal; major; primary
祝|zhù|surname Zhu; to wish; to express good wishes; to pray; (old) wizard
注意|zhùyì|to take note of; to pay attention to
字典|zìdiǎn|Chinese character dictionary (containing entries for single characters, contrasted with a 詞典/词典[ci2 dian3], which has entries for words of one or more characters); CL:本[ben3]
自己|zìjǐ|oneself; one's own
总是|zǒngshì|always
最近|zùijìn|recently; soon; nearest
作业|zuòyè|school assignment; homework; work; task; operation; CL:個/个[ge4]; to operate
作用|zuòyòng|to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:個/个[ge4]
