character-simplified|pinyin|definition
保养|bǎoyǎng|to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance
保障|bǎozhàng|to ensure; to guarantee; to safeguard
保重|bǎozhòng|to take care of oneself
抱负|bàofù|aspiration; ambition
抱怨|bàoyuàn|to complain; to grumble; to harbor a complaint; to feel dissatisfied
报仇|bàochóu|to take revenge; to avenge
报酬|bàochóu|reward; remuneration
报答|bàodá|to repay; to requite
报到|bàodào|to report for duty; to check in; to register
报复|bàofù|to make reprisals; to retaliate; revenge; retaliation
报社|bàoshè|newspaper (i.e. a company); CL:家[jia1]
报销|bàoxiāo|to submit an expense account; to apply for reimbursement; to write off; to wipe out
爆发|bàofā|to break out; to erupt; to explode; to burst out
爆炸|bàozhà|explosion; to explode; to blow up; to detonate
曝光|pùguāng|to expose (photography); (fig.) to expose (a scandal); (advertising) exposure; Taiwan pr. [pu4 guang1]
暴力|bàolì|violence; force; violent
暴露|bàolù|to expose; to reveal; to lay bare; also pr. [pu4 lu4]
悲哀|bēiāi|grieved; sorrowful
悲惨|bēicǎn|miserable; tragic
卑鄙|bēibǐ|base; mean; contemptible; despicable
北极|běijí|the North Pole; the Arctic Pole; the north magnetic pole
被动|bèidòng|passive
被告|bèigào|defendant
背叛|bèipàn|to betray
背诵|bèisòng|to recite; to repeat from memory
备份|bèifèn|backup
备忘录|bèiwànglù|memorandum; aide-memoire; memorandum book
贝壳|bèiké|shell; conch; cowry; mother of pearl; hard outer skin; also pr. [bei4 qiao4]
奔波|bēnbō|to rush about; to be constantly on the move
奔驰|bēnchí|Benz (name); Mercedes-Benz, German car maker; to run quickly; to speed; to gallop
本能|běnnéng|instinct
本钱|běnqián|capital; (fig.) asset; advantage; the means (to do sth)
本人|běnrén|the person himself; I (humble form used in speeches); oneself; myself; in person; personal
本身|běnshēn|itself; in itself; per se
本事|běnshì|source material; original story; ability; skill
本着|běnzháo|based on...; in conformance with..; taking as one's main principle
笨拙|bènzhuó|clumsy; awkward; stupid
崩溃|bēngkùi|to collapse; to crumble; to fall apart
甭|béng|contraction of 不用; need not; please don't; (dialect) very
蹦|bèng|to jump; to bounce; to hop
迸发|bèngfā|to burst forth
逼迫|bīpò|to force; to compel; to coerce
鼻涕|bítì|nasal mucus; snivel
比方|bǐfāng|analogy; instance; for instance
比喻|bǐyù|to compare; to liken to; metaphor; analogy; figure of speech; figuratively
比重|bǐzhòng|proportion; specific gravity
臂|bì|arm
弊病|bìbìng|malady; evil; malpractice; drawback; disadvantage
弊端|bìduān|malpractice; abuse; corrupt practice
必定|bìdìng|to be bound to; to be sure to
闭塞|bìsāi|to stop up; to close up; hard to get to; out of the way; inaccessible; unenlightened; blocking
碧玉|bìyù|jasper
鞭策|biāncè|to spur on; to urge on; to encourage sb (e.g. to make progress)
编织|biānzhī|to weave; to knit; to plait; to braid; (fig.) to create (sth abstract, e.g. a dream, a lie etc)
边疆|biānjiāng|border area; borderland; frontier; frontier region
边界|biānjiè|boundary; border
边境|biānjìng|frontier; border
边缘|biānyuán|edge; fringe; verge; brink; periphery; marginal; borderline
扁|biǎn|surname Pian; flat; (coll.) to beat (sb) up; old variant of 匾[bian3]; small boat
贬低|biǎndī|to belittle; to disparage; to play down; to demean; to degrade; to devalue
贬义|biǎnyì|derogatory sense; negative connotation
遍布|biànbù|to cover the whole (area); to be found throughout
便利|biànlì|convenient; easy; to facilitate
便条|biàntiáo|(informal) note; CL:張/张[zhang1],個/个[ge4]
便于|biànyú|easy to; convenient for
变故|biàngù|an unforeseen event; accident; misfortune
变迁|biànqiān|changes; vicissitudes
变质|biànzhí|to degenerate; to deteriorate; (of food) to go bad; to go off; (geology) metamorphism
辩护|biànhù|to speak in defense of; to argue in favor of; to defend; to plead
辩解|biànjiě|to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself
辩证|biànzhèng|to investigate; dialectical
辨认|biànrèn|to recognize; to identify
辫子|biànzǐ|plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條/条[tiao2]
标本|biāoběn|specimen; sample; the root cause and symptoms of a disease
标记|biāojì|sign; mark; symbol; to mark up; (computing) token
标题|biāotí|title; heading; headline; caption; subject
飙升|biāoshēng|to rise rapidly; to soar
表决|biǎojué|to decide by vote; to vote
表态|biǎotài|to declare one's position; to say where one stands
表彰|biǎozhāng|to honor; to commend; to cite (in dispatches)
憋|biē|to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath)
别墅|biéshù|villa; CL:幢[zhuang4],座[zuo4]
别致|biézhì|unusual; unique; variant of 別緻/别致[bie2 zhi4]
别扭|biénǐu|awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche
濒临|bīnlín|on the edge of; (fig.) on the verge of; close to
冰雹|bīngbáo|hail; hailstone; CL:場/场[chang2],粒[li4]
并存|bìngcún|to exist at the same time; to coexist
并非|bìngfēi|really isn't
并列|bìngliè|to stand side by side; to be juxtaposed
拨打|bōdǎ|to call; to dial
播放|bōfàng|to broadcast; to transmit
播种|bōzhǒng|to sow seeds; sowing; seed
波浪|bōlàng|wave
波涛汹涌|bōtāoxiōngyǒng|waves surging forth; roaring sea
剥削|bōxuē|to exploit; exploitation
博大精深|bódàjīngshēn|wide-ranging and profound; broad and deep
博览会|bólǎnhùi|exposition; international fair
搏斗|bódǒu|to wrestle; to fight; to struggle
伯母|bómǔ|wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個/个[ge4]
薄弱|bóruò|weak; frail
不顾|bùgù|in spite of; regardless of
不愧|bùkùi|to be worthy of; to deserve to be called; to prove oneself to be
不料|bùliào|unexpectedly; to one's surprise
不像话|bùxiànghuà|unreasonable; shocking; outrageous
不屑一顾|bùxièyīgù|to disdain as beneath contempt (idiom)
补偿|bǔcháng|to compensate; to make up
补救|bǔjìu|to remedy
补贴|bǔtiē|to subsidize; subsidy; allowance; to supplement (one's salary etc); benefit
哺乳|bǔrǔ|breastfeeding; to suckle; to nurse
捕捉|bǔzhuō|to catch; to seize; to capture
不得已|bùdéyǐ|to act against one's will; to have no alternative but to; to have to; to have no choice; must
不妨|bùfáng|there is no harm in; might as well
不禁|bùjìn|can't help (doing sth); can't refrain from
不堪|bùkān|cannot bear; cannot stand; utterly; extremely
不时|bùshí|from time to time; now and then; occasionally; frequently
不惜|bùxī|not stint; not spare; not hesitate (to do sth); not scruple (to do sth)
不相上下|bùxiāngshàngxià|equally matched; about the same
不言而喻|bùyánéryù|it goes without saying; it is self-evident
不由得|bùyóudé|can't help; cannot but
不择手段|bùzéshǒuduàn|by fair means or foul; by hook or by crook; unscrupulously
不止|bùzhǐ|incessantly; without end; more than; not limited to
布告|bùgào|posting on a bulletin board; notice; bulletin; to announce
布局|bùjú|arrangement; composition; layout; opening (chess jargon)
布置|bùzhì|to put in order; to arrange; to decorate; to fix up; to deploy
步伐|bùfá|pace; (measured) step; march
部署|bùshǔ|to dispose; to deploy; deployment
部位|bùwèi|position; place
才干|cáigān|ability; competence
财富|cáifù|wealth; riches
财务|cáiwù|financial affairs
财政|cáizhèng|finances (public); financial
裁缝|cáiféng|tailor; dressmaker
裁判|cáipàn|judgment; to referee; umpire; judge; referee; CL:個/个[ge4],位[wei4],名[ming2]
裁员|cáiyuán|to cut staff; to lay off employees
采购|cǎigòu|to procure (for an enterprise etc); to purchase
采集|cǎijí|to gather; to collect; to harvest
采纳|cǎinà|to accept; to adopt
彩票|cǎipiào|lottery ticket
参谋|cānmóu|staff officer; to give advice
参照|cānzhào|to consult a reference; to refer to (another document)
残酷|cánkù|cruel; cruelty
残留|cánlíu|to remain; left over; surplus; remnant
残忍|cánrěn|cruel; mean; merciless; ruthless
灿烂|cànlàn|to glitter; brilliant; splendid
舱|cāng|cabin; the hold of a ship or airplane
苍白|cāngbái|pale; wan
仓促|cāngcù|all of a sudden; hurriedly
仓库|cāngkù|depot; storehouse; warehouse
操劳|cāoláo|to work hard; to look after
操练|cāoliàn|drill; practice
操纵|cāozòng|to operate; to control; to rig; to manipulate
操作|cāozuò|to work; to operate; to manipulate
嘈杂|cáozá|noisy; clamorous
草案|cǎoàn|draft (legislation, proposal etc)
草率|cǎolv̀|careless; negligent; sloppy; not serious
策划|cèhuá|to plot; to scheme; to bring about; to engineer; planning; producer; planner
策略|cèlvè|strategy; tactics; crafty; adroit
测量|cèliàng|survey; to measure; to gauge; to determine
侧面|cèmiàn|lateral side; side; aspect; profile
层出不穷|céngchūbùqióng|more and more emerge; innumerable succession; breeding like flies (idiom)
层次|céngcì|layer; level; gradation; arrangement of ideas; (a person's) standing
差距|chàjù|disparity; gap
查获|cháhuò|to track down and seize (a criminal suspect, contraband etc)
岔|chà|fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)
刹那|chànà|an instant (Sanskrit: ksana); split second; the twinkling of an eye
诧异|chàyì|flabbergasted; astonished
柴油|cháiyóu|diesel fuel
搀|chān|to take by the arm and assist; to mix; to blend; to dilute; to adulterate
馋|chán|gluttonous; greedy; to have a craving
缠绕|chánrào|twisting; to twine; to wind; to pester; to bother
产业|chǎnyè|industry; estate; property; industrial
阐述|chǎnshù|to expound (a position); to elaborate (on a topic); to treat (a subject)
颤抖|zhàndǒu|to shudder; to shiver; to shake; to tremble
猖狂|chāngkuáng|savage; furious
昌盛|chāngshèng|prosperous
尝试|chángshì|to try; to attempt; CL:次[ci4]
偿还|chánghuán|to repay; to reimburse
常年|chángnián|all year round; for years on end; average year
常务|chángwù|routine; everyday business; daily operation (of a company)
场合|chánghé|situation; occasion; context; setting; location; venue
场面|chángmiàn|scene; spectacle; occasion; situation
场所|chángsuǒ|location; place
敞开|chǎngkāi|to open wide; unrestrictedly
倡导|chàngdǎo|to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)
倡议|chàngyì|to suggest; to initiate; proposal; initiative
畅通|chàngtōng|unimpeded; free-flowing; straight path; unclogged; move without obstruction
畅销|chàngxiāo|to sell well; best seller; chart-topping
超级|chāojí|super-; ultra-; hyper-
超越|chāoyuè|to surpass; to exceed; to transcend
钞票|chāopiào|paper money; a bill (e.g. 100 yuan); CL:張/张[zhang1],紮/扎[za1]
潮流|cháolíu|tide; current; trend
潮湿|cháoshī|damp; moist
嘲笑|cháoxiào|to jeer at; to deride; to ridicule; mockery; derision
撤退|chètùi|to retreat
撤销|chèxiāo|to repeal; to revoke; (computing) to undo
沉淀|chéndiàn|to settle; to precipitate (solid sediment out of a solution)
沉闷|chénmèn|oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled
沉思|chénsī|to contemplate; to ponder; contemplation; meditation
沉重|chénzhòng|heavy; hard; serious; critical
沉着|chénzháo|steady; calm and collected; not nervous
陈旧|chénjìu|old-fashioned
陈列|chénliè|to display; to exhibit
陈述|chénshù|an assertion; to declare; to state
称号|chēnghào|name; term of address; title
盛|shèng|surname Sheng; to hold; to contain; to ladle; to pick up with a utensil; flourishing; vigorous; magnificent; extensively
橙|chéng|orange tree; orange (color)
乘务员|chéngwùyuán|attendant on an airplane, train, boat etc
承办|chéngbàn|to undertake; to accept a contract
承包|chéngbāo|to contract; to undertake (a job)
承诺|chéngnuò|to promise; to undertake to do something; commitment
城堡|chéngbǎo|castle; rook (chess piece)
成本|chéngběn|(manufacturing, production etc) costs
成交|chéngjiāo|to complete a contract; to reach a deal
成天|chéngtiān|(coll.) all day long; all the time
成效|chéngxiào|effect; result
成心|chéngxīn|intentional; deliberate; on purpose
成员|chéngyuán|member
惩罚|chéngfá|penalty; punishment; to punish
诚挚|chéngzhì|sincere; cordial
澄清|chéngqīng|clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts); to settle (of liquid); to become clear (by precipitation of impurities); precipitate (chemistry); to put in order; to quell disturbances
呈现|chéngxiàn|to appear; to emerge; to present (a certain appearance); to demonstrate
秤|chèng|variant of 稱/称[cheng1], to weigh; steelyard; Roman balance; CL:臺/台[tai2]
吃苦|chīkǔ|to bear hardships
吃力|chīlì|to entail strenuous effort; to toil at a task; strenuous; laborious; strain
迟缓|chíhuǎn|slow; sluggish
迟疑|chíyí|to hesitate
持久|chíjǐu|lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long
池塘|chítáng|pool; pond
赤道|chìdào|equator (of the earth or astronomical body)
赤字|chìzì|(financial) deficit; red letter
冲动|chōngdòng|to have an urge; to be impetuous; impulse; urge
冲击|chōngjí|variant of 衝擊/冲击[chong1 ji1]; to attack; to batter; (of waves) to pound against; shock; impact
冲突|chōngtū|conflict; to conflict; clash of opposing forces; collision (of interests); contention
充当|chōngdāng|to serve as; to act as; to play the role of
充沛|chōngpèi|abundant; plentiful; vigorous
充实|chōngshí|rich; full; substantial; to enrich; to augment; to substantiate (an argument)
充足|chōngzú|adequate; sufficient; abundant
崇拜|chóngbài|to worship; adoration
崇高|chónggāo|majestic; sublime
崇敬|chóngjìng|to revere; to venerate; high esteem
重叠|zhòngdié|to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)
重阳节|zhòngyángjié|Double Ninth or Yang Festival; 9th day of 9th lunar month
抽空|chōukōng|to find the time to do sth
筹备|chóubèi|preparations; to get ready for sth
踌躇|chóuchú|to hesitate
稠密|chóumì|dense
丑恶|chǒuè|ugly; repulsive
出路|chūlù|a way out (lit. and fig.); opportunity for advancement; a way forward; outlet (for one's products)
出卖|chūmài|to offer for sale; to sell; to sell out or betray
出身|chūshēn|to be born of; to come from; family background; class origin
出神|chūshén|spellbound; entranced; lost in thought
出息|chūxī|to yield interest, profit etc; to exhale (Buddhism); future prospects; profit; to mature; to grow up
出洋相|chūyángxiāng|to make a fool of oneself
初步|chūbù|initial; preliminary; tentative
储备|chǔbèi|reserves; to store up
储存|chǔcún|stockpile; to store; to stockpile; storage
储蓄|chǔxù|to deposit money; to save; savings
处分|chùfēn|to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個/个[ge4]
处境|chùjìng|situation (of a person)
处置|chùzhì|to handle; to take care of; to punish
触犯|hóngfàn|to violate; to offend
穿越|chuānyuè|to pass through; to traverse; to cross
船舶|chuánbó|shipping; boats
传达|chuándá|to pass on; to convey; to relay; to transmit; transmission
传单|chuándān|leaflet; flier; pamphlet
传授|chuánshòu|to impart; to pass on; to teach
喘气|chuǎnqì|to breathe deeply; to pant
串|chuàn|to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across
床单|chuángdān|bed sheet; CL:條/条[tiao2],件[jian4],張/张[zhang1],床[chuang2]
创立|chuànglì|to establish; to set up; to found
创新|chuàngxīn|innovation; to bring forth new ideas; to blaze new trails
创业|chuàngyè|to begin an undertaking; to start a major task; to initiate; to venture; venture; entrepreneurship
创作|chuàngzuò|to create; to produce; to write; creative work; creation; CL:個/个[ge4]
吹牛|chūiníu|to talk big; to shoot off one's mouth; to chat (dialect)
吹捧|chūipěng|to flatter; to laud sb's accomplishments; adulation
锤|chúi|hammer; to hammer into shape; weight (e.g. of a steelyard or balance); to strike with a hammer; variant of 錘/锤[chui2]
垂直|chúizhí|perpendicular; vertical
纯粹|chúncùi|pure; unadulterated; purely; completely
纯洁|chúnjié|pure; clean and honest; to purify
词汇|cíhùi|variant of 詞彙/词汇[ci2 hui4]; vocabulary; list of words (e.g. for language teaching purposes); word
慈祥|cíxiáng|kindly; benevolent (often of older person)
雌雄|cíxióng|male and female
刺|cì|(onom.) whoosh; thorn; sting; thrust; to prick; to pierce; to stab; to assassinate; to murder
次品|cìpǐn|substandard products; defective; seconds
次序|cìxù|sequence; order
伺候|sìhòu|to serve; to wait upon
丛|cóng|cluster; collection; collection of books; thicket
从容不迫|cóngróngbùpò|calm; unruffled
凑合|còuhé|to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad
粗鲁|cūlǔ|coarse; crude (in one's manner); boorish
窜|cuàn|to flee; to scuttle; to exile or banish; to amend or edit
摧残|cūicán|to ravage; to ruin
脆弱|cùiruò|weak; frail
搓|cuō|to rub or roll between the hands or fingers; to twist
磋商|cuōshāng|to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations
挫折|cuòzhé|setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue
搭|dā|to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡[da1]
搭档|dādǎng|to cooperate; partner
搭配|dāpèi|to pair up; to match; to arrange in pairs; to add sth into a group
答辩|dábiàn|to reply (to an accusation); to defend one's dissertation
答复|dáfù|variant of 答覆/答复[da2 fu4]; to answer; to reply; Reply to: (in email header)
达成|dáchéng|to reach (an agreement); to accomplish
打包|dǎbāo|to wrap; to pack; to put leftovers in a doggy bag for take-out; to package (computing)
打官司|dǎguānsī|to file a lawsuit; to sue; to dispute
打击|dǎjí|to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music)
打架|dǎjià|to fight; to scuffle; to come to blows; CL:場/场[chang2]
打量|dǎliàng|to size sb up; to look sb up and down; to take the measure of; to suppose; to reckon
打猎|dǎliè|to go hunting
打仗|dǎzhàng|to fight a battle; to go to war
大不了|dàbùle|at worst; if worst comes to worst; serious; alarming
大臣|dàchén|chancellor (of a monarchy); cabinet minister
大伙儿|dàhuǒér|erhua variant of 大伙[da4 huo3]
大厦|dàshà|(used in the names of grand buildings such as 百老匯大廈/百老汇大厦 Broadway Mansions (in Shanghai) or 帝國大廈/帝国大厦 Empire State Building etc)
大肆|dàsì|wantonly; without restraint (of enemy or malefactor); unbridled
大体|dàtǐ|in general; more or less; in rough terms; basically; on the whole; overall situation; the big picture; (Tw) remains (of a dead person)
大意|dàyì|general idea; main idea; careless
大致|dàzhì|more or less; roughly; approximately
歹徒|dǎitú|evildoer; malefactor; gangster; hoodlum
带领|dàilǐng|to guide; to lead
代价|dàijià|price; cost; consideration (in share dealing)
代理|dàilǐ|to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy
逮捕|dàibǔ|to arrest; to apprehend; an arrest
怠慢|dàimàn|to slight; to neglect
担保|dànbǎo|to guarantee; to vouch for
胆怯|dǎnqiè|timidity; timid; cowardly
淡季|dànjì|off season; slow business season; see also 旺季[wang4 ji4]
淡水|dànshǔi|Danshui or Tanshui town in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan; potable water (water with low salt content); fresh water
蛋白质|dànbáizhí|protein
诞辰|dànchén|birthday
诞生|dànshēng|to be born
当场|dāngcháng|at the scene; on the spot
当初|dāngchū|at that time; originally
当面|dāngmiàn|to sb's face; in sb's presence
当前|dāngqián|current; today's; modern; present; to be facing (us)
当事人|dāngshìrén|persons involved or implicated; party (to an affair)
当务之急|dāngwùzhījí|top priority job; matter of vital importance
当心|dāngxīn|to take care; to look out
当选|dāngxuǎn|to be elected; to be selected
党|dǎng|surname Dang; party; association; club; society; CL:個/个[ge4]
档案|dǎngàn|file; record; archive
档次|dǎngcì|grade; class; quality; level
岛屿|dǎoyǔ|island
倒闭|dǎobì|to go bankrupt; to close down
导弹|dǎodàn|guided missile; cruise missile; missile; CL:枚[mei2]
导航|dǎoháng|navigation
导向|dǎoxiàng|to be oriented towards; orientation
捣乱|dǎoluàn|to disturb; to look for trouble; to stir up a row; to bother sb intentionally
稻谷|dàogǔ|rice crops
盗窃|dàoqiè|to steal
得不偿失|débùchángshī|the gains do not make up for the losses (idiom)
得力|délì|able; capable; competent; efficient
得天独厚|détiāndúhòu|blessed by heaven (idiom); enjoying exceptional advantages; favored by nature
得罪|dézùi|to commit an offense; to violate the law; excuse me! (formal); see also 得罪[de2 zui5]; to offend sb; to make a faux pas; a faux pas; see also 得罪[de2 zui4]
蹬|dèng|to step on; to tread on; to wear (shoes); (slang) to dump (sb); Taiwan pr. [deng4]
灯笼|dēnglóng|lantern
登陆|dēnglù|to land; to come ashore; to make landfall (of typhoon etc); to log in (frequently used erroneous variant of 登錄/登录[deng1 lu4])
登录|dēnglù|to register; to log in
等级|děngjí|grade; rank; status
瞪|dèng|to open (one's eyes) wide; to stare at; to glare at
堤坝|dībà|dam; dike
敌视|díshì|hostile; malevolence; antagonism; to view as enemy; to stand against
抵达|dǐdá|to arrive; to reach (a destination)
抵抗|dǐkàng|to resist; resistance
抵制|dǐzhì|to resist; to boycott; to refuse (to cooperate); to reject; resistance; refusal
递增|dìzēng|to increase by degrees; in increasing order; incremental; progressive
地步|dìbù|stage; degree (to which a situation has evolved); situation; leeway
地势|dìshì|terrain; topography relief
地质|dìzhí|geology
颠簸|diānbò|to shake; to jolt; to bump
颠倒|diāndǎo|to turn upside down; to reverse; back to front; confused; deranged; crazy
点缀|diǎnzhùi|to decorate; to adorn; sprinkled; studded; only for show
典礼|diǎnlǐ|celebration; ceremony
典型|diǎnxíng|model; typical case; archetype; typical; representative
垫|diàn|pad; cushion; mat; to pad out; to fill a gap; to pay for sb; to advance (money)
电源|diànyuán|electric power source
奠定|diàndìng|to establish; to fix; to settle
惦记|diànjì|to think of; to keep thinking about; to be concerned about
叼|diāo|to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
雕刻|diāokè|to carve; to engrave; carving
雕塑|diāosù|a statue; a Buddhist image; sculpture; to carve
吊|diào|to suspend; to hang up; to hang a person; a string of 100 cash (arch.); to lament; to condole with; variant of 吊[diao4]
调动|diàodòng|to transfer; to maneuver (troops etc); movement of personnel; to mobilize; to bring into play
跌|diē|to fall; to tumble; to trip; (of prices etc) to drop; Taiwan pr. [die2]
盯|dīng|to watch attentively; to fix one's attention on; to stare at; to gaze at
叮嘱|dīngzhǔ|to warn repeatedly; to urge; to exhort again and again
定期|dìngqī|at set dates; at regular intervals; periodic; limited to a fixed period of time; fixed term
定义|dìngyì|definition; to define
丢人|dīurén|to lose face
丢三落四|dīusānluòsì|forgetful; empty-headed
东道主|dōngdàozhǔ|host; official host (e.g. venue for games or a conference)
东张西望|dōngzhāngxīwàng|to look in all directions (idiom); to glance around
董事长|dǒngshìcháng|chairman of the board; chairman
栋|dòng|classifier for houses or buildings; ridgepole (old)
冻结|dòngjié|to freeze (water etc); (fig.) to freeze (assets, prices etc)
洞穴|dòngxué|cave; cavern
动荡|dòngdàng|variant of 動蕩/动荡[dong4 dang4]; unrest (social or political); turmoil; upheaval; commotion
动机|dòngjī|motor; locomotive; motive; motivation; intention
动静|dòngjìng|(detectable) movement; (sign of) activity; movement and stillness
动力|dònglì|motive power; force; (fig.) motivation; impetus
动脉|dòngmài|artery
动身|dòngshēn|to go on a journey; to leave
动手|dòngshǒu|to set about (a task); to hit; to punch; to touch
动态|dòngtài|movement; motion; development; trend; dynamic (science)
动员|dòngyuán|to mobilize; to arouse; mobilization; CL:次[ci4],個/个[ge4]
兜|dōu|pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor (old); old variant of 兜[dou1]
陡峭|dǒuqiào|precipitous
斗争|dǒuzhēng|a struggle; fight; battle
督促|dūcù|to supervise and urge completion of a task; to urge on
都市|dūshì|city; metropolis
独裁|dúcái|dictatorship
毒品|dúpǐn|drugs; narcotics; poison
赌博|dǔbó|to gamble
堵塞|dǔsāi|to clog up; blockage
杜绝|dùjué|to put an end to
端|duān|end; extremity; item; port; to hold sth level with both hands; to carry; regular; old variant of 端[duan1]; start; origin
端午节|duānwǔjié|Dragon Boat Festival (5th day of the 5th lunar month)
端正|duānzhèng|upright; regular; proper; correct
短促|duǎncù|short in time; fleeting; brief; gasping (breath); curt (tone of voice)
断定|duàndìng|to conclude; to determine; to come to a judgment
断断续续|duànduànxùxù|intermittent; off and on; discontinuous; stop-go; stammering; disjointed; inarticulate
断绝|duànjué|to sever; to break off
堆积|dūijī|to pile up; to heap; accumulation
对策|dùicè|countermeasure for dealing with a situation
对称|dùichēng|symmetry; symmetrical
对付|dùifù|to handle; to deal with; to cope; to get by with
对抗|dùikàng|to withstand; to resist; to stand off; antagonism; confrontation
对立|dùilì|to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical
