character-simplified|pinyin|definition
喂|wèi|hello (when answering the phone); hey; to feed (an animal, baby, invalid etc); variant of 餵/喂[wei4]; to feed
我|wǒ|I; me; my
我们|wǒmen|we; us; ourselves; our
五|wǔ|five; 5
喜欢|xǐhuān|to like; to be fond of
下|xià|down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
下午|xiàwǔ|afternoon; CL:個/个[ge4]; p.m.
下雨|xiàyǔ|to rain
先生|xiānshēng|Mister (Mr.); teacher; husband; doctor (dialect); CL:位[wei4]
现在|xiànzài|now; at present; at the moment; modern; current; nowadays
想|xiǎng|to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth)
小|xiǎo|small; tiny; few; young
小姐|xiǎojiě|young lady; miss; (slang) prostitute; CL:個/个[ge4],位[wei4]
些|xiē|classifier indicating a small amount or small number greater than 1: some, a few, several
写|xiě|to write
谢谢|xièxiè|to thank; thanks; thank you
星期|xīngqī|week; CL:個/个[ge4]; day of the week; Sunday
学生|xuéshēng|student; schoolchild
学习|xuéxí|to learn; to study
学校|xuéxiào|school; CL:所[suo3]
一|yī|one; 1; single; a (article); as soon as; entire; whole; all; throughout; one; 1; single; a (article); as soon as; entire; whole; all; throughout
衣服|yīfú|clothes; CL:件[jian4],套[tao4]
医生|yìshēng|doctor; CL:個/个[ge4],位[wei4],名[ming2]
医院|yìyuàn|hospital; CL:所[suo3],家[jia1],座[zuo4]
椅子|yǐzǐ|chair; CL:把[ba3],套[tao4]
有|yǒu|to have; there is; there are; to exist; to be
月|yuè|moon; month; monthly; CL:個/个[ge4],輪/轮[lun2]
在|zài|(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)
再见|zàijiàn|goodbye; see you again later
怎么|zěnyāo|how?; what?; why?; variant of 怎麼/怎么[zen3 me5]
怎么样|zěnyāoyáng|how?; how about?; how was it?; how are things?
这|zhè|this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)
中国|zhōngguó|China
中午|zhōngwǔ|noon; midday; CL:個/个[ge4]
住|zhù|to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)
桌子|zhuōzǐ|table; desk; CL:張/张[zhang1],套[tao4]
字|zì|letter; symbol; character; word; CL:個/个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China
昨天|zuótiān|yesterday
坐|zuò|surname Zuo; to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4]
做|zuò|to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance
