character-simplified|pinyin|definition
爱情|àiqíng|romance; love (romantic); CL:個/个[ge4],份[fen4]
安排|ānpái|to arrange; to plan; to set up; arrangements; plans
安全|ānquán|safe; secure; safety; security
暗|àn|variant of 暗[an4]; dark; gloomy; hidden; secret; muddled; obscure; in the dark; to close (a door); to eclipse; muddled; stupid; ignorant; variant of 暗[an4]
按时|ànshí|on time; before deadline; on schedule
按照|ànzhào|according to; in accordance with; in the light of; on the basis of
包括|bāokuò|to comprise; to include; to involve; to incorporate; to consist of
保护|bǎohù|to protect; to defend; to safeguard; protection; CL:種/种[zhong3]
保证|bǎozhèng|guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個/个[ge4]
抱|bào|to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish
抱歉|bàoqiàn|to be sorry; to feel apologetic; sorry!
报道|bàodào|to report (news); report; CL:篇[pian1],份[fen4]
报名|bàomíng|to sign up; to enter one's name; to apply; to register; to enroll; to enlist
倍|bèi|(two, three etc) -fold; times (multiplier); double; to increase or multiply
本来|běnlái|original; originally; at first; it goes without saying; of course
笨|bèn|stupid; foolish; silly; slow-witted; clumsy
笔记本|bǐjìběn|notebook (stationery); CL:本[ben3]; notebook (computing)
毕业|bìyè|graduation; to graduate; to finish school
遍|biàn|variant of 遍[bian4]; everywhere; all over; classifier for actions: one time
标准|biāozhǔn|(an official) standard; norm; criterion; CL:個/个[ge4]
表达|biǎodá|to express; to convey
表格|biǎogé|form; table; CL:張/张[zhang1],份[fen4]
表扬|biǎoyáng|to praise; to commend
饼干|bǐnggān|biscuit; cracker; cookie; CL:片[pian4],塊/块[kuai4]
并且|bìngqiě|and; besides; moreover; furthermore; in addition
博士|bóshì|doctor; court academician (in feudal China); Ph.D.
不但|bùdàn|not only (... but also...)
不过|bùguò|only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
不得不|bùdébù|have no choice or option but to; cannot but; have to; can't help it; can't avoid
不管|bùguǎn|not to be concerned; regardless of; no matter
不仅|bùjǐn|not only (this one); not just (...) but also
部分|bùfēn|part; share; section; piece; CL:個/个[ge4]
擦|cā|to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish
猜|cāi|to guess
材料|cáiliào|material; data; makings; stuff; CL:個/个[ge4],種/种[zhong3]
参观|cānguān|to look around; to tour; to visit
差不多|chàbùduō|almost; nearly; more or less; about the same; good enough; not bad
长城|chángchéng|the Great Wall
长江|chángjiāng|Yangtze River, or Chang Jiang
尝|cháng|to taste; to try; to experience; already; ever; once; variant of 嘗/尝[chang2]; to taste; to experience; old variant of 嘗/尝[chang2]
场|cháng|threshing floor; classifier for events and happenings: spell, episode, bout; large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; variant of 場/场[chang2]; variant of 場/场[chang3]
超过|chāoguò|to surpass; to exceed; to outstrip
